"","runner","gender","age","course","vp","time"
"788",237,1,33,2,0,160.9166667
"789",237,1,35,41,0,164.1166667
"790",237,1,36,59,1,156.5166667
"791",237,1,34,22,0,162.8166667
"793",237,1,34,39,0,166.7833333
"796",238,0,27,2,0,135.1666667
"797",239,0,33,4,0,136.7666667
"798",239,0,34,33,0,140.3166667
"799",239,0,35,53,0,139.7333333
"800",240,1,32,2,0,164.4666667
"801",240,1,36,87,1,168.3333333
"802",240,1,33,39,0,177.5833333
"804",241,0,33,28,0,137.9666667
"805",242,1,37,21,0,162.8166667
"806",242,1,38,41,0,163.1833333
"807",242,1,39,59,1,163.45
"808",243,1,33,76,1,158.45
"809",243,1,29,7,0,160.25
"810",243,1,32,50,0,164.8
"811",244,1,33,26,0,164.5333333
"812",244,1,34,51,0,168.3166667
"813",245,1,28,9,0,157.9833333
"815",246,1,26,41,0,161.1
"816",246,1,25,39,0,163.6833333
"817",247,1,31,40,0,177.2666667
"818",247,1,29,3,0,166.0166667
"819",247,1,30,26,0,163.8333333
"820",247,1,32,64,0,164.45
"821",247,1,29,8,0,165.6333333
"822",247,1,30,31,0,171.4
"823",247,1,31,55,0,169.9333333
"824",247,1,30,39,0,185.05
"825",248,1,29,77,1,156.0166667
"826",248,1,26,39,0,155.35
"828",249,0,32,22,0,143.0333333
"830",250,1,25,58,0,186.0166667
"831",250,1,24,22,0,172.75
"832",250,1,26,63,0,164.3833333
"833",250,1,23.8,27,0,164.5166667
"834",250,1,25,47,0,169.0166667
"835",250,1,25.8,65,0,194.7833333
"837",251,1,34,58,1,174
"838",251,1,34,63,1,162.4333333
"839",251,1,32,31,0,162.6166667
"840",252,1,31,63,0,144.4666667
"841",252,1,28,7,0,148.6666667
